No,,,
10,35.92487428,136.1422722,薬師堂
11,35.93265783,136.141321,三山神社
12,35.93399568,136.1429384,黒谷山 新光寺
13,35.92933875,136.1674105,船岡神社
14,35.92586132,136.1693412,大井天神社
15,35.92553987,136.1679699,妙栄山 本承寺
16,35.92547846,136.1685258,大法山 真浄寺
17,35.92654346,136.1687308,光栄山 聞法寺
18,35.92124614,136.1697704,白嶺山 光澤寺
19,35.92446384,136.1636196,飯部磐座神社
1,35.92825823,136.1565685,萬霊塔
2,35.92804621,136.1564596,一本杉塚の碑
3,35.92644196,136.157464,吉野神社の絵馬
4,35.92627255,136.1578422,吉野の忠魂碑
5,35.92400931,136.1567049,本保陣屋跡
6,35.92185146,136.158259,天保救荒碑
7,35.9219264,136.158251,茳州先生の碑
8,35.92201257,136.1517342,青木嘉七君の碑
9,35.9194906,136.1441575,三好正之進の碑
10,35.9191919,136.144341,住吉霊水と地蔵尊
11,35.92243438,136.1472233,片屋の惣仏さま
12,35.9271658,136.138782,氷坂町の古墳と狐塚
13,35.92714864,136.1386016,番匠永宮達矩の碑
14,35.92659977,136.1394373,郷ヶ市溜池
15,35.92641605,136.1409509,名号の石碑
16,35.92859234,136.1332905,氷坂ずい道
17,35.92797584,136.1371565,出雲谷古墳群
18,35.93166662,136.1443829,三輪神社御趾
19,35.932201,136.1424687,大井観音
20,35.93311415,136.1460991,余田の徳本碑
21,35.93532618,136.147024,増田先生の碑
22,35.93629089,136.1466021,本保騒動の供養碑
23,35.93506315,136.1542396,余田の飛行場跡
24,35.92503365,136.1671445,家久遺跡
25,35.92508698,136.1658262,畷の天狗の石祠
26,35.92490782,136.1683188,木村先生の墓
27,,,長谷川先生の碑
28,35.93243374,136.176375,白鬼女の渡
29,35.93159616,136.1743334,大番町
30,35.92028949,136.1702457,柳原船だまり跡
31,35.92027996,136.1702649,一里塚
32,35.91771805,136.1594423,曲がり淵跡
33,35.91729331,136.1598274,橘曙覧の歌
34,35.91687044,136.160556,清役記念碑
35,35.92419897,136.1639123,芝原の徳本碑
36,35.92418936,136.1634649,種月庵の跡
37,35.92370297,136.1603704,石田先生の碑と徳本碑
